DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-Jul-2025,IV,"90.51","91.50","90.51","90.50","90.95","90.98","91.09","98.00","74.96",727334,"6,62,50,126.15",3846
10-Jul-2025,IV,"91.19","91.35","90.41","90.88","90.50","90.50","90.79","98.00","74.96",851444,"7,72,99,816.98",6421
09-Jul-2025,IV,"90.80","91.35","90.56","90.52","90.87","90.88","90.95","98.00","74.96",1272422,"11,57,22,124.86",3781
08-Jul-2025,IV,"90.52","90.95","90.21","90.49","90.50","90.52","90.51","98.00","74.96",570041,"5,15,92,841.51",2965
07-Jul-2025,IV,"90.99","91.70","90.35","90.69","90.49","90.49","90.94","98.00","74.96",817444,"7,43,36,047.24",6317
04-Jul-2025,IV,"90.30","90.79","89.79","89.94","90.77","90.69","90.41","98.00","74.96",767121,"6,93,58,120.14",4595
03-Jul-2025,IV,"90.60","91.18","89.51","90.42","89.75","89.94","90.33","98.00","74.96",924063,"8,34,68,391.88",5018
02-Jul-2025,IV,"91.35","91.35","90.25","90.89","90.48","90.42","90.73","98.00","74.96",836902,"7,59,28,650.17",4097
01-Jul-2025,IV,"91.20","91.50","90.05","90.61","90.89","90.89","90.77","98.00","74.96",662212,"6,01,08,331.13",4090
30-Jun-2025,IV,"91.75","91.99","90.00","90.66","90.50","90.61","90.84","98.00","74.96",2207294,"20,05,03,766.42",6225
27-Jun-2025,IV,"91.72","92.45","90.20","91.28","90.99","90.66","91.01","98.00","74.96",764169,"6,95,50,521.85",4856
26-Jun-2025,IV,"91.86","92.80","91.11","91.86","91.28","91.28","91.80","98.00","74.96",1022219,"9,38,44,161.70",3945
25-Jun-2025,IV,"90.10","91.98","90.10","90.37","91.95","91.86","91.54","98.00","74.96",1023769,"9,37,16,829.19",4216
24-Jun-2025,IV,"89.29","93.00","88.48","88.32","90.38","90.37","90.09","98.00","74.96",1886850,"16,99,86,862.71",6271
23-Jun-2025,IV,"87.03","88.50","86.93","87.03","88.40","88.32","87.70","98.00","74.96",1119077,"9,81,39,713.15",3796
20-Jun-2025,IV,"86.96","87.50","86.90","86.96","87.10","87.03","87.11","98.00","74.96",574097,"5,00,08,969.18",3404
19-Jun-2025,IV,"86.90","87.25","86.86","86.90","87.00","86.96","86.98","98.00","74.96",1836153,"15,97,08,201.18",4645
18-Jun-2025,IV,"87.22","87.68","86.50","86.93","86.90","86.90","87.03","98.00","74.96",3185560,"27,72,47,486.13",6747
17-Jun-2025,IV,"87.25","87.25","86.80","86.94","86.90","86.93","86.96","98.00","74.96",1661842,"14,45,11,878.80",2896
16-Jun-2025,IV,"87.13","87.20","86.75","86.88","86.95","86.94","86.94","98.00","74.96",1782410,"15,49,58,289.56",9921
13-Jun-2025,IV,"86.16","87.04","86.16","86.99","86.85","86.88","86.86","98.00","74.96",1217910,"10,57,82,947.97",4753
12-Jun-2025,IV,"86.93","87.35","86.00","86.85","86.85","86.99","86.90","98.00","74.96",1774041,"15,41,68,585.10",5431
11-Jun-2025,IV,"87.43","87.43","86.80","86.99","86.85","86.85","86.91","98.00","74.96",941902,"8,18,60,621.85",4572
10-Jun-2025,IV,"87.50","87.99","86.85","87.28","87.00","86.99","87.04","98.00","74.96",1993223,"17,34,80,686.16",5352
09-Jun-2025,IV,"84.90","87.40","84.60","84.38","87.25","87.28","86.16","98.00","74.96",1799197,"15,50,13,739.76",7033
06-Jun-2025,IV,"83.29","85.20","83.12","83.02","84.60","84.38","84.23","98.00","74.96",1597299,"13,45,44,634.07",5602
05-Jun-2025,IV,"82.39","83.24","82.25","82.18","83.10","83.02","82.62","98.00","74.96",1199864,"9,91,36,619.55",4506
04-Jun-2025,IV,"81.90","82.25","81.61","81.70","82.15","82.18","82.04","98.00","74.96",755214,"6,19,60,413.45",3554
03-Jun-2025,IV,"82.00","82.30","81.52","81.96","81.80","81.70","81.85","98.00","74.96",813738,"6,66,00,544.38",5729
